contract A,contract B,similarity,same contract,co-clone
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/collectors,0x01c5f9163845ed9fe55e404831800b50edfcaa9f_opt/collectors,0.9795,TRUE,TRUE
0x0b98a6b45263635a50c178abad87b1db5c7a8952/ERC1155,0x0baf20c9b4171b20d23c182e95152cf50591d393_opt/ERC20,0.9437,FALSE,TRUE
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/ERC721COLL,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/ERC721A,0.8521,FALSE,TRUE
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/ERC721COLL,0x01da4b9d0814b02eea19041327e1f445929061ed_opt/ERC721A,0.8243,FALSE,TRUE
0x01b70e308fcdf68c75f576aeb06f6e8228d9d571/Ownable,0x0b330335c46b4a6cee8f169e163afe844486dd9f_opt/Disperse,0.8239,FALSE,TRUE
0x0b4f48f2dfdddec30ac52178d823982db1b96cd0/NFT,0x01c5f9163845ed9fe55e404831800b50edfcaa9f_opt/collectors,0.8161,FALSE,TRUE
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/ERC721A,0x0b330335c46b4a6cee8f169e163afe844486dd9f_opt/Disperse,0.8121,FALSE,TRUE
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/ERC721COLL,0x0b4f48f2dfdddec30ac52178d823982db1b96cd0_opt/ERC721,0.8099,FALSE,TRUE
0x0beded78953bc0768da04cee59e23dd148a38922/Ownable,0x0b330335c46b4a6cee8f169e163afe844486dd9f_opt/Disperse,0.8073,FALSE,TRUE
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/ERC721COLL,0x0b98a6b45263635a50c178abad87b1db5c7a8952_opt/ERC1155,0.8069,FALSE,TRUE
0x0e32e69c06856eba5909dd638839edaf92f524d3/Ownable,0x0b330335c46b4a6cee8f169e163afe844486dd9f_opt/Disperse,0.7986,FALSE,TRUE
0x01c5f9163845ed9fe55e404831800b50edfcaa9f/ERC721COLL,0x0b721e0bd17d27b0dda825d791842f37fded2d0a_opt/ERC721,0.7932,FALSE,TRUE
0x0be57c1fd12a1099ba803227b5acad8888ea2933/Ownable,0x0b330335c46b4a6cee8f169e163afe844486dd9f_opt/Disperse,0.7927,FALSE,TRUE
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/ERC721A,0x0b721e0bd17d27b0dda825d791842f37fded2d0a_opt/ERC721,0.7922,FALSE,TRUE
