contract A,contract B,similarity
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x231055a0852d67c7107ad0d0dfeab60278fe6adc_opt/CeramicAnchorServiceV2.opcode,0.403
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x25881555d0318049b693a54fdf65148efc21dfe9_opt/ERC721.opcode,0.3659
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x25881555d0318049b693a54fdf65148efc21dfe9_opt/Strings.opcode,0.8218
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x25881555d0318049b693a54fdf65148efc21dfe9_opt/SmolApes.opcode,0.2401
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x25881555d0318049b693a54fdf65148efc21dfe9_opt/Counters.opcode,0.8195
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x2559813bbb508c4c79e9ccce4703bcb1f149edd7_opt/hourglass.opcode,0.212
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x2559813bbb508c4c79e9ccce4703bcb1f149edd7_opt/Ownable.opcode,0.5114
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x2559813bbb508c4c79e9ccce4703bcb1f149edd7_opt/SafeMath.opcode,0.8487
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x355891dbe6bd9e1856ae2d293da9d1f411ef991f_opt/Strings.opcode,0.8532
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x355891dbe6bd9e1856ae2d293da9d1f411ef991f_opt/ETHvillages.opcode,0.2397
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x355891dbe6bd9e1856ae2d293da9d1f411ef991f_opt/ERC721A.opcode,0.2218
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x35918cde7233f2dd33fa41ae3cb6ae0e42e0e69f_opt/Strings.opcode,0.8272
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x32216cef02fff0a86243e8bd7f46f59aa6412263_opt/MerkleProof.opcode,0.8445
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x32216cef02fff0a86243e8bd7f46f59aa6412263_opt/Strings.opcode,0.8131
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x32216cef02fff0a86243e8bd7f46f59aa6412263_opt/NotJarritos.opcode,0.2187
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x32216cef02fff0a86243e8bd7f46f59aa6412263_opt/ERC721A.opcode,0.2659
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x259540d5a2cc940e3c1fa38721db7b26c0a877bd_opt/ERC20.opcode,0.272
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x259540d5a2cc940e3c1fa38721db7b26c0a877bd_opt/SafeMath.opcode,0.8302
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x259540d5a2cc940e3c1fa38721db7b26c0a877bd_opt/LunaMoon.opcode,0.2442
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x24079341d4b9c45b5a44c9100e26003309220e69_opt/CrystalETH.opcode,0.1973
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x24079341d4b9c45b5a44c9100e26003309220e69_opt/Ownable.opcode,0.5054
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x24079341d4b9c45b5a44c9100e26003309220e69_opt/SafeMath.opcode,0.8615
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x32147c31ab7e5e7de9327f24936e0480d7bfa027_opt/TheRock.opcode,0.1943
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x32147c31ab7e5e7de9327f24936e0480d7bfa027_opt/Ownable.opcode,0.5447
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x32147c31ab7e5e7de9327f24936e0480d7bfa027_opt/SafeMath.opcode,0.8449
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x2321537fd8ef4644bacdceec54e5f35bf44311fa_opt/n00dToken.opcode,0.3605
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x2321537fd8ef4644bacdceec54e5f35bf44311fa_opt/ERC777.opcode,0.2836
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x249555edbe6009760fd6ff1d29b552385d08625a_opt/SafeMath.opcode,0.8531
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x249555edbe6009760fd6ff1d29b552385d08625a_opt/Dolan.opcode,0.3139
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x24264506e5dad75e2b41647f8d43f3fc77caf439_opt/ERC20.opcode,0.2169
0x329558cf69711664f63201af6d42a3ee467f623f/Address.opcode,0x24264506e5dad75e2b41647f8d43f3fc77caf439_opt/BrokenHeart.opcode,0.2549
