contract,max_sim contract,similarity,same contract
0x00abbdd24450ac270b5034b8f61ef0ce952727e9/ERC20.opcode,0x00abbdd24450ac270b5034b8f61ef0ce952727e9_opt/ERC20.opcode,0.7512,True
0x00abbdd24450ac270b5034b8f61ef0ce952727e9/SafeMath.opcode,0x00abbdd24450ac270b5034b8f61ef0ce952727e9_opt/SafeMath.opcode,0.9982,True
0x00abbdd24450ac270b5034b8f61ef0ce952727e9/TANJIRO.opcode,0x00abbdd24450ac270b5034b8f61ef0ce952727e9_opt/TANJIRO.opcode,0.7788,True
0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940/StringsUpgradeable.opcode,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/Strings.opcode,0.994,False
0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940/StorageSlot.opcode,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/Strings.opcode,0.9898,False
0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940/MathUpgradeable.opcode,0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940_opt/CountersUpgradeable.opcode,0.9878,False
0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940/AddressUpgradeable.opcode,0x00eeb9c8e67b197f02275241c7de8b80b49b2a25_opt/SafeMath.opcode,0.988,False
0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940/CountersUpgradeable.opcode,0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940_opt/CountersUpgradeable.opcode,0.9926,True
0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940/SafeCastUpgradeable.opcode,0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940_opt/SafeCastUpgradeable.opcode,0.993,True
0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940/BoringOwnable.opcode,0x00a3b35fc7c31f4d135b7388642fc31e56628088_opt/Ownable.opcode,0.7129,False
0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940/Address.opcode,0x00b784c0e9dd20fc865f89d05d0ce4417efb77a9_opt/MerkleProof.opcode,0.9896,False
0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940/BoringOwnableData.opcode,0x00abbdd24450ac270b5034b8f61ef0ce952727e9_opt/SafeMath.opcode,0.7814,False
0x00b784c0e9dd20fc865f89d05d0ce4417efb77a9/Strings.opcode,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/Strings.opcode,0.9888,True
0x00b784c0e9dd20fc865f89d05d0ce4417efb77a9/ERC721.opcode,0x00b784c0e9dd20fc865f89d05d0ce4417efb77a9_opt/ERC721.opcode,0.7104,True
0x00b784c0e9dd20fc865f89d05d0ce4417efb77a9/MintersWorld.opcode,0x00cda8abd8a7193f69a1d54129ccd0b1fe61e53c_opt/DAIKOKU.opcode,0.6682,False
0x00b784c0e9dd20fc865f89d05d0ce4417efb77a9/Address.opcode,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/Strings.opcode,0.9918,False
0x00b784c0e9dd20fc865f89d05d0ce4417efb77a9/MerkleProof.opcode,0x00b784c0e9dd20fc865f89d05d0ce4417efb77a9_opt/MerkleProof.opcode,0.9928,True
0x35459680d7e1e2d36936089722b1f36794275705/Strings.opcode,0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940_opt/SafeCastUpgradeable.opcode,0.9912,False
0x35459680d7e1e2d36936089722b1f36794275705/GoldSaucerAuction.opcode,0x00eeb9c8e67b197f02275241c7de8b80b49b2a25_opt/Haunter.opcode,0.7379,False
0x35459680d7e1e2d36936089722b1f36794275705/ERC721A.opcode,0x00c6c5e5c7c3be547f15b8a9e7de4de5e2b2a4ba_opt/PriveSociete.opcode,0.7424,False
0x35459680d7e1e2d36936089722b1f36794275705/Address.opcode,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/Strings.opcode,0.9879,False
0x35459680d7e1e2d36936089722b1f36794275705/MerkleProof.opcode,0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940_opt/AddressUpgradeable.opcode,0.9865,False
0x00dd045a745974bb6fa9476b4b5d28b3178b17bd/Ownable.opcode,0x00cda8abd8a7193f69a1d54129ccd0b1fe61e53c_opt/Ownable.opcode,0.7456,True
0x00dd045a745974bb6fa9476b4b5d28b3178b17bd/DRILLINU.opcode,0x00eeb9c8e67b197f02275241c7de8b80b49b2a25_opt/Haunter.opcode,0.7802,False
0x00dd045a745974bb6fa9476b4b5d28b3178b17bd/SafeMath.opcode,0x00a4d8e91d92595972ea5810537d87eb664f5bcd_opt/Address.opcode,0.9904,False
0x00cda8abd8a7193f69a1d54129ccd0b1fe61e53c/Ownable.opcode,0x00a3b35fc7c31f4d135b7388642fc31e56628088_opt/Ownable.opcode,0.7851,True
0x00cda8abd8a7193f69a1d54129ccd0b1fe61e53c/SafeMath.opcode,0x00a4d8e91d92595972ea5810537d87eb664f5bcd_opt/Address.opcode,0.9868,False
0x00cda8abd8a7193f69a1d54129ccd0b1fe61e53c/DAIKOKU.opcode,0x00eeb9c8e67b197f02275241c7de8b80b49b2a25_opt/Haunter.opcode,0.7796,False
0x00a3b35fc7c31f4d135b7388642fc31e56628088/Ownable.opcode,0x00a3b35fc7c31f4d135b7388642fc31e56628088_opt/Ownable.opcode,0.7887,True
0x00a3b35fc7c31f4d135b7388642fc31e56628088/SafeMath.opcode,0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940_opt/SafeCastUpgradeable.opcode,0.9944,False
0x00a3b35fc7c31f4d135b7388642fc31e56628088/NeeBank.opcode,0x00eeb9c8e67b197f02275241c7de8b80b49b2a25_opt/Haunter.opcode,0.6617,False
0x00a4d8e91d92595972ea5810537d87eb664f5bcd/Badlanders.opcode,0x00a4d8e91d92595972ea5810537d87eb664f5bcd_opt/Badlanders.opcode,0.8212,True
0x00a4d8e91d92595972ea5810537d87eb664f5bcd/Strings.opcode,0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940_opt/SafeCastUpgradeable.opcode,0.988,False
0x00a4d8e91d92595972ea5810537d87eb664f5bcd/ERC721.opcode,0x00a4d8e91d92595972ea5810537d87eb664f5bcd_opt/ERC721.opcode,0.5381,True
0x00a4d8e91d92595972ea5810537d87eb664f5bcd/ERC721A.opcode,0x00a4d8e91d92595972ea5810537d87eb664f5bcd_opt/ERC721A.opcode,0.7847,True
0x00a4d8e91d92595972ea5810537d87eb664f5bcd/Address.opcode,0x00a4d8e91d92595972ea5810537d87eb664f5bcd_opt/Strings.opcode,0.9881,False
0x00eeb9c8e67b197f02275241c7de8b80b49b2a25/Ownable.opcode,0x00eeb9c8e67b197f02275241c7de8b80b49b2a25_opt/Ownable.opcode,0.7657,True
0x00eeb9c8e67b197f02275241c7de8b80b49b2a25/SafeMathInt.opcode,0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940_opt/AddressUpgradeable.opcode,0.9883,False
0x00eeb9c8e67b197f02275241c7de8b80b49b2a25/ERC20.opcode,0x00c6c5e5c7c3be547f15b8a9e7de4de5e2b2a4ba_opt/PriveSociete.opcode,0.7311,False
0x00eeb9c8e67b197f02275241c7de8b80b49b2a25/SafeMath.opcode,0x00eeb9c8e67b197f02275241c7de8b80b49b2a25_opt/SafeMath.opcode,0.9914,True
0x00eeb9c8e67b197f02275241c7de8b80b49b2a25/SafeMathUint.opcode,0x00eeb9c8e67b197f02275241c7de8b80b49b2a25_opt/SafeMath.opcode,0.9923,False
0x00eeb9c8e67b197f02275241c7de8b80b49b2a25/Haunter.opcode,0x00eeb9c8e67b197f02275241c7de8b80b49b2a25_opt/Haunter.opcode,0.7394,True
0x00c6c5e5c7c3be547f15b8a9e7de4de5e2b2a4ba/ERC721A.opcode,0x00a4d8e91d92595972ea5810537d87eb664f5bcd_opt/ERC721A.opcode,0.8098,True
0x00c6c5e5c7c3be547f15b8a9e7de4de5e2b2a4ba/PriveSociete.opcode,0x00c6c5e5c7c3be547f15b8a9e7de4de5e2b2a4ba_opt/PriveSociete.opcode,0.7886,True
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/Strings.opcode,0x00c2eea3d2f0dac6b88b07b33c6c01a7da65a940_opt/AddressUpgradeable.opcode,0.9881,False
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/Pumkins.opcode,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/Pumkins.opcode,0.4635,True
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/ERC721A.opcode,0x00abbdd24450ac270b5034b8f61ef0ce952727e9_opt/ERC20.opcode,0.5258,False
0x00e95b2a02649042070d2150e94c05a2ff5e5c4e/Address.opcode,0x00e95b2a02649042070d2150e94c05a2ff5e5c4e_opt/Strings.opcode,0.9949,False
